Id,User_SId,Text,Label,PublishDTO
1,3,بچه فوت شده ...یک غمه جگرسوزی تو صورته این بچیه بی جانه ...درسته ؟؟یا من اینجوری حس می کنم ؟؟؟,قومی,2024-04-23 12:31:10
2,3,ﻭقتی تو پيامﺭسان داخلی ريپورت ميشی😆😑,قومی,2024-04-23 12:31:27
3,3,ﻭ ﻣﺮﺩﻫﺎ ﺑﻪ ﺁﻧﭽﻪ ﺩﺳﺖ ﻧﺎﯾﺎﻓﺘﻨﯽ ﻣﯽ ﺩﺍﻧﻨﺪ ﺗﻤﺎﯾﻞ ﺑﯿﺸﺘﺮﯼ ﺩﺍﺭﻧﺪ.,قومی,2024-04-23 12:31:47
4,3,ﻭضعیت خانمای ایرانی تو اسفند ماه قبل اﺯ ﺍینکه آرﺍیشگاه برﻥ 😂😂,قومی,2024-04-23 12:32:18
5,3,ﻫﻤﺎ پرنده ايست ﮐﻪ ﺍﺳﺘﺨﻮﺍﻥ ﻣﯽ ﺧﻮﺭﺩ و در اسطوره ‌های ایرانی جایگاه مهمی دارد. معروف است که سایه‌اش بر سر هر کس بیفتد به سعادت و کامرانی خواهد رسید به همین دلیل به مرغ سعادت معروف شده ‌است.,قومی,2024-04-23 12:32:36
6,3,ﻫﺮ ﮐﺠﺎ ﺍﻧﺴﺎﻧﯽ ﻫﺴﺖ، ﻓﺮﺻﺘﯽ ﺑﺮﺍﯼ ﻣﺤﺒﺖ ﮐﺮﺩﻥ هم ﻫﺴﺖ. ﺑﻪ ﻛﺴﻰ ﻛﻪ ﺩﺭ ﺯﻣﻴﻦ ﺍﺳﺖ ﺭﺣﻢ ﻛﻨﻴﺪ، ﺗﺎ ﻛﺴﻰ ﻛﻪ ﺩﺭ ﺁﺳﻤﺎﻥ ﺍﺳﺖ ﺑﻪ ﺷﻤﺎ ﺭﺣﻢ ﻛﻨﺪ چه رازِ پنهانی دارد؟     که از عهده اش بر نیامده هیچ کس,قومی,2024-04-23 12:32:37
7,2,ﻭضعیت اکثر ظرﻑهای آجیل بعد رفتن مهمونا 😐😐😐,قومی,2024-04-23 12:38:44
8,2,اگر به دنبال یکی از مرتفع ترین هتل ها در دنیا هستید، می توانید برای اقامت در دبی، هتل برج العرب را انتخاب نمایی😍😎  پیدا مےڪنم       میانِ دوستت دارم‌هائے ڪہ      از چشمانت 😍      بہ سمتِ قلبــ❤️ـم,قومی,2024-04-23 12:43:18
9,2,ننه ترامپ,قومی,2024-04-23 12:43:28
10,2,حضور دختر پرسپولیسی در ورزشگاه آزادی,قومی,2024-04-23 12:43:31
